group,image,mean_dist_nucleus,mean_dist_mito,n_pbody
G3,W0042F0001T0006Z000C1N10.png,37.59778454181029,,7
G3,W0042F0001T0006Z000C1N12.png,61.19471409903562,,4
G3,W0042F0001T0006Z000C1N13.png,13.19481821353133,39.732789712826346,11
G3,W0042F0001T0006Z000C1N14.png,33.383912516377656,99.98658374383533,10
G3,W0042F0001T0006Z000C1N15.png,,,13
G3,W0042F0001T0006Z000C1N16.png,42.47491264255668,,10
G3,W0042F0001T0006Z000C1N17.png,30.99625724321768,56.15552766133422,9
G3,W0042F0001T0006Z000C1N18.png,38.34971558772858,88.18098444389271,10
G3,W0042F0001T0006Z000C1N2.png,21.569295829996182,45.52779013205872,11
G3,W0042F0001T0006Z000C1N20.png,,,7
G3,W0042F0001T0006Z000C1N21.png,36.84915759173945,84.65801641998928,5
G3,W0042F0001T0006Z000C1N22.png,80.16399894896149,,8
G3,W0042F0001T0006Z000C1N24.png,68.1799136913572,,10
G3,W0042F0001T0006Z000C1N26.png,43.86159999739296,,4
G3,W0042F0001T0006Z000C1N28.png,87.98751343054674,,6
G3,W0042F0001T0006Z000C1N3.png,36.220486420961386,,7
G3,W0042F0001T0006Z000C1N30.png,10.078349382488804,21.258430333836014,18
G3,W0042F0001T0006Z000C1N31.png,38.15494670908064,,6
G3,W0042F0001T0006Z000C1N32.png,40.26153647768738,50.51240590723991,16
G3,W0042F0001T0006Z000C1N33.png,40.343963559983756,70.35593070229444,9
G3,W0042F0001T0006Z000C1N34.png,28.613424168948793,46.340174193892445,11
G3,W0042F0001T0006Z000C1N38.png,0.37189904975106597,0.37189904975106597,13
G3,W0042F0001T0006Z000C1N4.png,41.79579749609654,,9
G3,W0042F0001T0006Z000C1N6.png,45.062423778146915,,6
G3,W0042F0001T0006Z000C1N7.png,39.23626087120258,45.666069745500955,8
G3,W0042F0001T0006Z000C1N8.png,30.857053097072736,,4
G3,W0042F0001T0006Z000C1N9.png,34.86714853517841,,6
G3,W0042F0002T0006Z000C1N11.png,,,4
