group,image,pbody_id,distance_to_nucleus_um,distance_to_mitochondria_um
G1,W0056F0003T0006Z000C1N79.png,1,3.697098207547373,
G1,W0056F0003T0006Z000C1N79.png,2,4.228590375349686,
G1,W0056F0003T0006Z000C1N79.png,3,5.72188788465015,
G1,W0056F0003T0006Z000C1N45.png,1,,
G1,W0056F0003T0006Z000C1N45.png,2,,
G1,W0056F0003T0006Z000C1N45.png,3,,
G1,W0056F0003T0006Z000C1N45.png,4,,
G1,W0056F0003T0006Z000C1N45.png,5,,
G1,W0056F0003T0006Z000C1N45.png,6,,
G1,W0056F0003T0006Z000C1N51.png,1,6.045546010287244,6.045546010287244
G1,W0056F0003T0006Z000C1N51.png,2,3.7501787731319993,3.7501787731319993
G1,W0056F0003T0006Z000C1N51.png,3,1.839031679795137,1.839031679795137
G1,W0056F0003T0006Z000C1N51.png,4,0.11621629422399804,0.11621629422399804
G1,W0056F0003T0006Z000C1N51.png,5,0.03804736005040723,0.03804736005040723
G1,W0056F0003T0006Z000C1N51.png,6,0.964762019428745,2.402646827325962
G1,W0056F0003T0006Z000C1N51.png,7,0.12452117007898447,0.12452117007898447
G1,W0056F0003T0006Z000C1N51.png,8,5.092178855247246,5.092178855247246
G1,W0056F0003T0006Z000C1N51.png,9,0.03901893837593104,0.03901893837593104
G1,W0056F0003T0006Z000C1N51.png,10,4.9186547004745105,4.9186547004745105
G1,W0056F0003T0006Z000C1N51.png,11,1.284675299443404,6.577738260602956
G1,W0056F0003T0006Z000C1N87.png,1,4.741070474384407,10.95986961100078
G1,W0056F0003T0006Z000C1N87.png,2,4.912115906032511,6.829831579780615
G1,W0056F0003T0006Z000C1N87.png,3,2.6000300479032936,2.6000300479032936
G1,W0056F0003T0006Z000C1N87.png,4,0.29000714108420417,0.29000714108420417
G1,W0056F0003T0006Z000C1N50.png,1,0.0833012472910089,0.0833012472910089
G1,W0056F0003T0006Z000C1N50.png,2,1.7604166666666667,1.7604166666666667
G1,W0056F0003T0006Z000C1N50.png,3,0.06958928570635793,0.06958928570635793
G1,W0056F0003T0006Z000C1N50.png,4,4.5529008609896175,4.5529008609896175
G1,W0056F0003T0006Z000C1N50.png,5,2.6679489104720293,2.6679489104720293
G1,W0056F0003T0006Z000C1N50.png,6,6.572278800599721,11.288816930720088
G1,W0056F0003T0006Z000C1N50.png,7,0.04466697761086022,0.04466697761086022
G1,W0056F0003T0006Z000C1N50.png,8,5.837008143090088,5.837008143090088
G1,W0056F0003T0006Z000C1N50.png,9,1.815997583209355,1.815997583209355
G1,W0056F0003T0006Z000C1N50.png,10,8.217102971850846,11.759656935897407
G1,W0056F0003T0006Z000C1N50.png,11,7.6536022998154065,8.183374240445943
G1,W0056F0003T0006Z000C1N50.png,12,7.400889410233071,7.400889410233071
G1,W0056F0003T0006Z000C1N50.png,13,3.3083818741191293,16.07559534278591
G1,W0056F0003T0006Z000C1N50.png,14,6.599508639694935,17.230615159539397
G1,W0056F0003T0006Z000C1N50.png,15,13.632795583946583,13.632795583946583
G1,W0056F0003T0006Z000C1N50.png,16,15.602591744342508,15.602591744342508
G1,W0056F0003T0006Z000C1N78.png,1,,
G1,W0056F0003T0006Z000C1N78.png,2,,
G1,W0056F0003T0006Z000C1N78.png,3,,
G1,W0056F0003T0006Z000C1N78.png,4,,
G1,W0056F0003T0006Z000C1N78.png,5,,
G1,W0056F0003T0006Z000C1N52.png,1,1.4228974822164675,2.5118200420152306
G1,W0056F0003T0006Z000C1N52.png,2,2.6237237179168056,3.8092061046836503
G1,W0056F0003T0006Z000C1N52.png,3,2.806423992378914,4.939042480582648
G1,W0056F0003T0006Z000C1N52.png,4,2.5726048330768063,4.037126053643045
G1,W0056F0003T0006Z000C1N52.png,5,2.4526252659452616,5.770337881492005
G1,W0056F0003T0006Z000C1N52.png,6,4.942912381632917,7.323776028286228
G1,W0056F0003T0006Z000C1N52.png,7,2.438018336814662,6.48023269894836
